audit_type,form,collection,node_key,label,kind,value_keys,notes
NPO,AUD-100,OverAllTailoringQuestions,AuditAreas.CASH,Cash - audit area selected,area_select,CASH,category=balance
NPO,KBA-400,Scoping,Scoping.CASH,Cash scoping row,row,,
NPO,KBA-400,Scoping,Scoping.CASH.SigClassTans,Sig class of transactions?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.CASH.MaterialAccount,Material/sig account?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.CASH.SigDisclosure,Sig disclosure?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.CASH.SigAcctEst,Sig accounting estimate?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.CASH.SigFraudRisk,Sig fraud risk?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.CASH.substantivetesting,Substantive testing planned?,toggle,NOTDASH;DASH,
NPO,KBA-400,AuditareaRelevantAssertions,AuditareaRelevantAssertions.CASH,Cash relevant assertions,row,EO;RO;CO;AV;CU;UC,
NPO,KBA-400,SigDisclosures,SigDisclosures.CASH,Cash significant disclosures,row,,
NPO,KBA-400,RiskRelatedSpecificrisks,RiskRelatedSpecificrisks.CASH,Cash risk-related specific risks,row,,
NPO,AUD-8xx,program,program.CASH,Cash audit program (AUD-801),program,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.CASH,Cash - 502 relevant-assertion risk section,section,,category=balance
NPO,KBA-502,RelevantAssertion,RelevantAssertion.CASH.EO,EO - Existence/Occurrence,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.CASH.RO,RO - Rights/Obligations,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.CASH.CO,CO - Completeness,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.CASH.AV,AV - Accuracy/Valuation,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.CASH.CU,CU - Cutoff,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.CASH.UC,UC - Classification/Understandability,assertion,,
NPO,KBA-502,AssertionLevelRisk,AssertionLevelRisk.CASH,Cash - 502 specific-risk (assertion-level) section,section,,
NPO,AUD-100,OverAllTailoringQuestions,AuditAreas.INVEST,Investments - audit area selected,area_select,INVEST,category=balance
NPO,KBA-400,Scoping,Scoping.INVEST,Investments scoping row,row,,
NPO,KBA-400,Scoping,Scoping.INVEST.SigClassTans,Sig class of transactions?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INVEST.MaterialAccount,Material/sig account?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INVEST.SigDisclosure,Sig disclosure?,toggle,NOTDASH;DASH,
