audit_type,cch_title,binding_key,plain_name,aud_form,category,distinctive
ASB,Commercial,CASH,Cash,AUD-801,balance,0
ASB,Commercial,AR,Accounts Receivable / Revenue,AUD-803,balance,0
ASB,Commercial,INVENTORY,Inventory & COGS,AUD-804,balance,0
ASB,Commercial,PP,Prepaids / Deferred / Other,AUD-805,balance,0
ASB,Commercial,INTANG,Intangibles,AUD-806,balance,0
ASB,Commercial,PPE,Property & Equipment,AUD-807,balance,0
ASB,Commercial,AP,Accounts Payable & Purchases,AUD-808,balance,0
ASB,Commercial,OL,Payroll & Other Liabilities,AUD-809,balance,0
ASB,Commercial,INCTAX,Income Taxes / UBI,AUD-810,balance,1
ASB,Commercial,DEBT,Debt & Debt Service,AUD-811,balance,0
ASB,Commercial,EQUITY,Equity / Net Assets / Net Position,AUD-812,balance,0
ASB,Commercial,OTHREV,Other Income & Expense,AUD-813,balance,0
ASB,Commercial,JE2,Journal Entries,AUD-814,risk,0
ASB,Commercial,RPTRNS2,Related Party Transactions,AUD-815,risk,0
ASB,Commercial,FAIRVALUE2,Fair Value Measurements,AUD-816,risk,0
ASB,Commercial,VIE2,Variable Interest Entities,AUD-817,balance,1
ASB,Commercial,STOCK,Share-Based Payments,AUD-818,balance,1
ASB,Commercial,COMMIT,Commitments & Contingencies,AUD-819,risk,0
ASB,Commercial,ESTIMATES,Accounting Estimates,AUD-820,risk,0
ASB,Commercial,CONCENT,Concentrations,AUD-821,risk,0
ASB,Commercial,BUSINESS,Business Combinations,AUD-822,balance,0
HOA,Commercial,CASH,Cash,AUD-801,balance,0
HOA,Commercial,AR,Accounts Receivable / Revenue,AUD-803,balance,0
HOA,Commercial,INVENTORY,Inventory & COGS,AUD-804,balance,0
HOA,Commercial,PP,Prepaids / Deferred / Other,AUD-805,balance,0
HOA,Commercial,INTANG,Intangibles,AUD-806,balance,0
HOA,Commercial,PPE,Property & Equipment,AUD-807,balance,0
HOA,Commercial,AP,Accounts Payable & Purchases,AUD-808,balance,0
HOA,Commercial,OL,Payroll & Other Liabilities,AUD-809,balance,0
HOA,Commercial,INCTAX,Income Taxes / UBI,AUD-810,balance,1
