audit_type,area,program,q_id,seq,qtype,question_text,default_answer,autonomy,look_for,notes
NPO,CASH,AUD-801,CASH_TQ_TAILORING_AnalyticalProcedures,1,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,CASH,AUD-801,CASH_TQ_TAILORING_CutoffRequested,2,tailoring,Do we plan on requesting cutoff bank statements?,,,,
NPO,CASH,AUD-801,CASH_TQ_TAILORING_InterestBearing,3,tailoring,Does the entity have interest bearing cash accounts?,,,,
NPO,CASH,AUD-801,CASH_TQ_TAILORING_MultipleBanks,4,tailoring,Does the entity have cash accounts at more than one financial institution?,,,,
NPO,CASH,AUD-801,CASH_TQ_TAILORING_CutoffReceived,5,tailoring,Did we receive cutoff bank statements?,,,,
NPO,CASH,AUD-801,CASH_TQ_TAILORING_PettyCashMaterial,6,tailoring,Are petty cash balances or cumulative related petty cash transactions during the audit period material?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_Securities,1,tailoring,Does the entity have investments in debt and equity securities and mutual funds?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_SecuritiesonHand,2,tailoring,Does the entity have investment instruments on hand?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_IndependentThird,3,tailoring,Does the entity have investment instruments held by independent third parties?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_PreferredShares,4,tailoring,Does the entity have investments in preferred shares or debt securities?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_Digital,5,tailoring,Does the entity have investments in digital/crypto assets?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_DigitalCrypto,6,tailoring,Does the entity have digital/crypto assets classified as “held to maturity”?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_CryptoAssets,7,tailoring,Does the entity have digital/crypto assets classified as “held for self-custody ”?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_SalesFinancial,8,tailoring,Did the entity have any transfers or sales of financial instruments during the audit period?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_Corporations,9,tailoring,"Does the entity have investments in closely held corporations and partnerships, and investment on the equity method?",,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_FinancialStatements,10,tailoring,Does the carrying amount of the security reflect factors that are not recognized in the investee's financial statements or fair values of assets that are materially different from ,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_DateOfEntity,11,tailoring,Is there a time lag between the date of the entity's financial statements and those of the investee (no more than three months)?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_Transactions,12,tailoring,Are there subsequent events and transactions of the investee occurring after the date of the investee's financial statements but before the date of the investor auditor's report?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_JointVentures,13,tailoring,Does the entity have any interests in joint ventures?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_CeasedControl,14,tailoring,Has the entity ceased to have joint control over an entity?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_Operator,15,tailoring,Has the entity been identified as the operator or manager of the joint venture?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_Subsidiary,16,tailoring,Has the joint venture become a subsidiary or closely held corporation or partnership of the entity?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_Contribute,17,tailoring,Did the entity contribute or sell assets to the joint venture?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_Purchase,18,tailoring,Did the entity purchase assets from the joint venture?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_Auditor Apply,19,tailoring,Have we applied or requested that the investor arrange with the joint venture to have another auditor apply appropriate auditing procedures?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_ProportionateConsolidation,20,tailoring,Does the entity account for the joint venture using the proportionate consolidation method?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_EquityMethod,21,tailoring,Does the entity account for the joint venture using the equity method?,,,,
