audit_type,from_form,from_key,to_form,to_key,relation,trigger_value,notes
NPO,AUD-100,AuditAreas.CASH,KBA-400,Scoping.CASH,spawns_scoping_row,area_selected,"row objectKey==area key; immediate, no submit"
NPO,KBA-400,Scoping.CASH,KBA-400,Scoping.CASH.SigClassTans,contains_toggle,,
NPO,KBA-400,Scoping.CASH,KBA-400,Scoping.CASH.MaterialAccount,contains_toggle,,
NPO,KBA-400,Scoping.CASH,KBA-400,Scoping.CASH.SigDisclosure,contains_toggle,,
NPO,KBA-400,Scoping.CASH,KBA-400,Scoping.CASH.SigAcctEst,contains_toggle,,
NPO,KBA-400,Scoping.CASH,KBA-400,Scoping.CASH.SigFraudRisk,contains_toggle,,
NPO,KBA-400,Scoping.CASH,KBA-400,Scoping.CASH.substantivetesting,contains_toggle,,
NPO,KBA-400,Scoping.CASH.SigClassTans,KBA-400,AuditareaRelevantAssertions.CASH,spawns_row,NOTDASH,isolated-confirmed OR trigger (NPO)
NPO,KBA-400,Scoping.CASH.MaterialAccount,KBA-400,AuditareaRelevantAssertions.CASH,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.CASH.SigDisclosure,KBA-400,SigDisclosures.CASH,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.CASH.SigAcctEst,KBA-400,RiskRelatedSpecificrisks.CASH,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.CASH.SigFraudRisk,KBA-400,RiskRelatedSpecificrisks.CASH,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.CASH.substantivetesting,AUD-8xx,program.CASH,recommends_program,NOTDASH,program-side; AUD-801
NPO,KBA-400,AuditareaRelevantAssertions.CASH,KBA-502,RelevantAssertion.CASH,renders_section_client_side,assertion_picked,CLIENT RENDER ONLY - 502 UI shows only KBA-400-picked assertions; nothing stored on 502. balance area; matches live-verified CASH/INVEST/AR pattern
NPO,KBA-502,RelevantAssertion.CASH,KBA-502,RelevantAssertion.CASH.EO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.CASH,KBA-502,RelevantAssertion.CASH.RO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.CASH,KBA-502,RelevantAssertion.CASH.CO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.CASH,KBA-502,RelevantAssertion.CASH.AV,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.CASH,KBA-502,RelevantAssertion.CASH.CU,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.CASH,KBA-502,RelevantAssertion.CASH.UC,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-400,RiskRelatedSpecificrisks.CASH,KBA-502,AssertionLevelRisk.CASH,renders_section_client_side,,"parallel to RelevantAssertion; INFERRED, not isolated live"
NPO,AUD-100,AuditAreas.INVEST,KBA-400,Scoping.INVEST,spawns_scoping_row,area_selected,"row objectKey==area key; immediate, no submit"
NPO,KBA-400,Scoping.INVEST,KBA-400,Scoping.INVEST.SigClassTans,contains_toggle,,
NPO,KBA-400,Scoping.INVEST,KBA-400,Scoping.INVEST.MaterialAccount,contains_toggle,,
NPO,KBA-400,Scoping.INVEST,KBA-400,Scoping.INVEST.SigDisclosure,contains_toggle,,
NPO,KBA-400,Scoping.INVEST,KBA-400,Scoping.INVEST.SigAcctEst,contains_toggle,,
NPO,KBA-400,Scoping.INVEST,KBA-400,Scoping.INVEST.SigFraudRisk,contains_toggle,,
NPO,KBA-400,Scoping.INVEST,KBA-400,Scoping.INVEST.substantivetesting,contains_toggle,,
NPO,KBA-400,Scoping.INVEST.SigClassTans,KBA-400,AuditareaRelevantAssertions.INVEST,spawns_row,NOTDASH,isolated-confirmed OR trigger (NPO)
NPO,KBA-400,Scoping.INVEST.MaterialAccount,KBA-400,AuditareaRelevantAssertions.INVEST,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.INVEST.SigDisclosure,KBA-400,SigDisclosures.INVEST,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.INVEST.SigAcctEst,KBA-400,RiskRelatedSpecificrisks.INVEST,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.INVEST.SigFraudRisk,KBA-400,RiskRelatedSpecificrisks.INVEST,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.INVEST.substantivetesting,AUD-8xx,program.INVEST,recommends_program,NOTDASH,program-side; AUD-802
NPO,KBA-400,AuditareaRelevantAssertions.INVEST,KBA-502,RelevantAssertion.INVEST,renders_section_client_side,assertion_picked,CLIENT RENDER ONLY - 502 UI shows only KBA-400-picked assertions; nothing stored on 502. balance area; matches live-verified CASH/INVEST/AR pattern
NPO,KBA-502,RelevantAssertion.INVEST,KBA-502,RelevantAssertion.INVEST.EO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.INVEST,KBA-502,RelevantAssertion.INVEST.RO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.INVEST,KBA-502,RelevantAssertion.INVEST.CO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.INVEST,KBA-502,RelevantAssertion.INVEST.AV,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.INVEST,KBA-502,RelevantAssertion.INVEST.CU,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.INVEST,KBA-502,RelevantAssertion.INVEST.UC,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-400,RiskRelatedSpecificrisks.INVEST,KBA-502,AssertionLevelRisk.INVEST,renders_section_client_side,,"parallel to RelevantAssertion; INFERRED, not isolated live"
NPO,AUD-100,AuditAreas.AR,KBA-400,Scoping.AR,spawns_scoping_row,area_selected,"row objectKey==area key; immediate, no submit"
NPO,KBA-400,Scoping.AR,KBA-400,Scoping.AR.SigClassTans,contains_toggle,,
NPO,KBA-400,Scoping.AR,KBA-400,Scoping.AR.MaterialAccount,contains_toggle,,
NPO,KBA-400,Scoping.AR,KBA-400,Scoping.AR.SigDisclosure,contains_toggle,,
NPO,KBA-400,Scoping.AR,KBA-400,Scoping.AR.SigAcctEst,contains_toggle,,
NPO,KBA-400,Scoping.AR,KBA-400,Scoping.AR.SigFraudRisk,contains_toggle,,
NPO,KBA-400,Scoping.AR,KBA-400,Scoping.AR.substantivetesting,contains_toggle,,
NPO,KBA-400,Scoping.AR.SigClassTans,KBA-400,AuditareaRelevantAssertions.AR,spawns_row,NOTDASH,isolated-confirmed OR trigger (NPO)
NPO,KBA-400,Scoping.AR.MaterialAccount,KBA-400,AuditareaRelevantAssertions.AR,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.AR.SigDisclosure,KBA-400,SigDisclosures.AR,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.AR.SigAcctEst,KBA-400,RiskRelatedSpecificrisks.AR,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.AR.SigFraudRisk,KBA-400,RiskRelatedSpecificrisks.AR,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.AR.substantivetesting,AUD-8xx,program.AR,recommends_program,NOTDASH,program-side; AUD-803
NPO,KBA-400,AuditareaRelevantAssertions.AR,KBA-502,RelevantAssertion.AR,renders_section_client_side,assertion_picked,CLIENT RENDER ONLY - 502 UI shows only KBA-400-picked assertions; nothing stored on 502. balance area; matches live-verified CASH/INVEST/AR pattern
NPO,KBA-502,RelevantAssertion.AR,KBA-502,RelevantAssertion.AR.EO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.AR,KBA-502,RelevantAssertion.AR.RO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.AR,KBA-502,RelevantAssertion.AR.CO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.AR,KBA-502,RelevantAssertion.AR.AV,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.AR,KBA-502,RelevantAssertion.AR.CU,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.AR,KBA-502,RelevantAssertion.AR.UC,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-400,RiskRelatedSpecificrisks.AR,KBA-502,AssertionLevelRisk.AR,renders_section_client_side,,"parallel to RelevantAssertion; INFERRED, not isolated live"
NPO,AUD-100,AuditAreas.SPLITINTX,KBA-400,Scoping.SPLITINTX,spawns_scoping_row,area_selected,"row objectKey==area key; immediate, no submit"
NPO,KBA-400,Scoping.SPLITINTX,KBA-400,Scoping.SPLITINTX.SigClassTans,contains_toggle,,
NPO,KBA-400,Scoping.SPLITINTX,KBA-400,Scoping.SPLITINTX.MaterialAccount,contains_toggle,,
NPO,KBA-400,Scoping.SPLITINTX,KBA-400,Scoping.SPLITINTX.SigDisclosure,contains_toggle,,
NPO,KBA-400,Scoping.SPLITINTX,KBA-400,Scoping.SPLITINTX.SigAcctEst,contains_toggle,,
NPO,KBA-400,Scoping.SPLITINTX,KBA-400,Scoping.SPLITINTX.SigFraudRisk,contains_toggle,,
NPO,KBA-400,Scoping.SPLITINTX,KBA-400,Scoping.SPLITINTX.substantivetesting,contains_toggle,,
NPO,KBA-400,Scoping.SPLITINTX.SigClassTans,KBA-400,AuditareaRelevantAssertions.SPLITINTX,spawns_row,NOTDASH,isolated-confirmed OR trigger (NPO)
NPO,KBA-400,Scoping.SPLITINTX.MaterialAccount,KBA-400,AuditareaRelevantAssertions.SPLITINTX,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.SPLITINTX.SigDisclosure,KBA-400,SigDisclosures.SPLITINTX,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.SPLITINTX.SigAcctEst,KBA-400,RiskRelatedSpecificrisks.SPLITINTX,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.SPLITINTX.SigFraudRisk,KBA-400,RiskRelatedSpecificrisks.SPLITINTX,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.SPLITINTX.substantivetesting,AUD-8xx,program.SPLITINTX,recommends_program,NOTDASH,program-side; AUD-804
NPO,KBA-400,AuditareaRelevantAssertions.SPLITINTX,KBA-502,RelevantAssertion.SPLITINTX,renders_section_client_side,assertion_picked,CLIENT RENDER ONLY - 502 UI shows only KBA-400-picked assertions; nothing stored on 502. balance area; matches live-verified CASH/INVEST/AR pattern
NPO,KBA-502,RelevantAssertion.SPLITINTX,KBA-502,RelevantAssertion.SPLITINTX.EO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.SPLITINTX,KBA-502,RelevantAssertion.SPLITINTX.RO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
